35
0	1	1184	96	32	32
1	1	1216	96	32	32
2	1	1248	96	32	32
3	1	1280	96	32	32
4	1	1312	96	32	32
5	1	1344	96	32	32
6	1	1376	96	32	32
7	10	1152	64	32	32
8	10	1120	64	32	32
9	10	1088	64	32	32
10	10	1056	64	32	32
11	10	992	64	32	32
12	10	960	64	32	32
13	10	1408	64	32	32
14	10	1472	64	32	32
15	10	1504	64	32	32
16	10	1568	64	32	32
17	10	1600	64	32	32
18	10	1632	64	32	32
19	10	1664	64	32	32
20	10	1728	64	32	32
21	10	1760	64	32	32
22	7	1024	64	32	32
23	7	1440	64	32	32
24	7	1536	64	32	32
25	7	1696	64	32	32
26	7	1792	64	32	32
27	7	1184	192	32	32
28	7	1216	192	32	32
29	7	1344	192	32	32
30	7	1376	192	32	32
31	7	992	128	32	32
32	7	928	128	32	32
33	7	896	128	32	32
34	7	992	160	32	32
